code,name,city,country,timezone,city_code
AAA,Anaa,,PF,Pacific/Tahiti,AAA
AAB,Arrabury Airport,Tanbar,AU,Australia/Brisbane,AAB
AAC,El Arish International Airport,Arish,EG,Africa/Cairo,AAC
AAD,Adado,Adado,SO,Africa/Khartoum,AAD
AAE,Les Salines Airport,El Hadjar,DZ,Africa/Algiers,AAE
AAF,Apalachicola Regional,Apalachicola,US,America/New_York,AAF
AAG,Arapoti,Jaguariaiva,BR,America/Sao_Paulo,AAG
AAH,Aachen/Merzbruck,,DE,Europe/Berlin,AAH
AAI,Arraias,Campos Belos,BR,America/Araguaina,AAI
AAJ,Cayana Airstrip,Kajana,SR,America/Paramaribo,AAJ
AAK,Aranuka,,KI,Pacific/Tarawa,AAK
AAL,Aalborg Airport,Vadum,DK,Europe/Copenhagen,AAL
AAM,Mala Mala,,ZA,Africa/Johannesburg,AAM
AAN,Al Ain Airport,,AE,Asia/Dubai,AAN
AAO,Anaco,Anaco,VE,America/Caracas,AAO
AAP,Andrau Airpark,,US,America/Chicago,HOU
AAQ,Anapa Airport,Anapa,RU,Europe/Moscow,AAQ
AAR,Aarhus Airport,Ebeltoft,DK,Europe/Copenhagen,AAR
AAS,Apalapsili,,ID,Asia/Jayapura,AAS
AAT,Altay Airport,Awiytan,CN,Asia/Urumqi,AAT
AAU,Asau,Asau,WS,Pacific/Apia,AAU
AAV,Allah Valley,Surallah,PH,Asia/Manila,AAV
AAW,Abbottabad,Abbottabad,PK,Asia/Karachi,AAW
AAX,Araxa Airport,Araxa,BR,America/Sao_Paulo,AAX
AAY,Al Ghaydah,Al Ghayzah,YE,Asia/Aden,AAY
AAZ,Quetzaltenango,Olintepeque,GT,America/Guatemala,AAZ
ABA,Abakan Airport,Podsineye,RU,Asia/Krasnoyarsk,ABA
ABB,Asaba International Airport,Asaba,NG,Africa/Lagos,ABB
ABC,Los Llanos,,ES,Europe/Madrid,ABC
ABD,Abadan Airport,Abadan,IR,Asia/Tehran,ABD
ABE,Lehigh Valley International Airport,Catasauqua,US,America/New_York,ABE
ABF,Abaiang,Buota Village,KI,Pacific/Tarawa,ABF
ABG,Abingdon,,AU,Australia/Brisbane,ABG
ABH,Alpha,,AU,Australia/Brisbane,ABH
ABI,Abilene Regional Airport,,US,America/Chicago,ABI
ABJ,Felix Houphouet Boigny Airport,Abidjan,CI,Africa/Abidjan,ABJ
ABK,Kabri Dar,,ET,Africa/Addis_Ababa,ABK
ABL,Ambler Airport,,US,America/Anchorage,ABL
ABM,Northern Peninsula Airport,,AU,Australia/Brisbane,ABM
ABN,Albina,,SR,America/Paramaribo,ABN
ABO,Aboisso,Aboisso,CI,Africa/Abidjan,ABO
ABP,Atkamba,,PG,Pacific/Port_Moresby,ABP
ABQ,Albuquerque International Sunport,Albuquerque,US,America/Denver,ABQ
ABR,Aberdeen Municipal Airport,Aberdeen,US,America/Chicago,ABR
ABS,Abu Simbel,,EG,Africa/Cairo,ABS
ABT,Al-Aqiq Airport,Al Bahah,SA,Asia/Riyadh,ABT
ABU,Haliwen Airport,Atambua,ID,Asia/Makassar,ABU
ABV,Nnamdi Azikiwe International Airport,Madala,NG,Africa/Lagos,ABV
ABW,Abau,,PG,Pacific/Port_Moresby,ABW
ABX,Albury Airport,East Albury,AU,Australia/Sydney,ABX
ABY,Southwest Georgia Regional Airport,,US,America/New_York,ABY
ABZ,Aberdeen International Airport,Dyce,GB,Europe/London,ABZ
ACA,Acapulco International Airport,10 de Abril,MX,America/Mexico_City,ACA
ACB,Antrim County,Bellaire,US,America/Detroit,ACB
ACC,Kotoka International Airport,Accra,GH,Africa/Accra,ACC
ACD,Acandi,,CO,America/Bogota,ACD
ACE,Lanzarote Airport,Tias,ES,Atlantic/Canary,ACE
ACF,Alaer Talimu Airport,Aral,CN,Asia/Urumqi,ACF
ACH,Altenrhein Airport,Rheineck,CH,Europe/Zurich,ACH
ACI,Alderney Airport,Beaumont-Hague,GB,Europe/Guernsey,ACI
ACJ,Anuradhapura,Anuradhapura,LK,Asia/Colombo,ACJ
ACK,Nantucket Memorial Airport,Nantucket,US,America/New_York,ACK
ACL,Aguaclara,Sabanalarga,CO,America/Bogota,ACL
ACM,Arica,Pebas,CO,America/Bogota,ACM
ACN,International,,MX,America/Matamoros,ACN
ACP,Sahand,Bonab,IR,Asia/Tehran,ACP
ACR,Araracuara,,CO,America/Bogota,ACR
ACS,Achinsk,Achinsk,RU,Asia/Krasnoyarsk,ACS
ACT,Waco Municipal Airport,Gholson,US,America/Chicago,ACT
ACU,Achutupo,Portobelo,PA,America/Panama,ACU
ACV,Arcata-Eureka Airport,McKinleyville,US,America/Los_Angeles,ACV
ACX,Xingyi Airport,Xinzhou,CN,Asia/Shanghai,ACX
ACY,Atlantic City International Airport,Pomona,US,America/New_York,AIY
ACZ,Zabol Airport,Zabol,IR,Asia/Tehran,ACZ
ADA,Adana Airport,Seyhan,TR,Europe/Istanbul,ADA
ADB,Izmir Adnan Menderes Airport,,TR,Europe/Istanbul,IZM
ADC,Andakombe,,PG,Pacific/Port_Moresby,ADC
ADD,Addis Ababa Bole International Airport,Addis Ababa,ET,Africa/Addis_Ababa,ADD
ADE,International,Khawr Maksar,YE,Asia/Aden,ADE
ADF,Adiyaman Airport,Adiyaman,TR,Europe/Istanbul,ADF
ADG,Lenawee County,Adrian,US,America/Detroit,ADG
ADH,Aldan,Aldan,RU,Asia/Yakutsk,ADH
ADI,Arandis,Arandis,NA,Africa/Windhoek,ADI
ADJ,Marka International Airport,Amman,JO,Asia/Amman,AMM
ADK,Adak Island Ns,,US,America/Adak,ADK
ADL,Adelaide Airport,Plympton,AU,Australia/Adelaide,ADL
ADM,Ardmore Municipal Airport,Dickson,US,America/Chicago,ADM
ADN,Andes,Los Andes,CO,America/Bogota,ADN
ADO,Andamooka,,AU,Australia/Adelaide,ADO
ADP,Ampara,,LK,Asia/Colombo,ADP
ADQ,Kodiak Benny Benson State Airport,,US,America/Anchorage,ADQ
ADR,Andrews,Andrews,US,America/New_York,ADR
ADS,Addison Airport,Haltom City,US,America/Chicago,DFW
ADT,Ada Municipal,Ada,US,America/Chicago,ADT
ADU,Ardabil Airport,Namin,IR,Asia/Tehran,ADU
ADV,El Daein,El Daein,SD,Africa/Khartoum,ADV
ADW,Andrews AFB,Andrews AFB,US,America/New_York,ADW
ADX,Leuchars,Leuchars,GB,Europe/London,ADX
ADY,Alldays,,ZA,Africa/Johannesburg,ADY
ADZ,Gustavo Rojas Pinilla Airport,San Andres,CO,America/Bogota,ADZ
AEA,Abemama Atoll,,KI,Pacific/Tarawa,AEA
AEB,Youjiang,Tianzhou,CN,Asia/Shanghai,AEB
AED,Aleneva,,US,America/Anchorage,AED
AEE,Adareil Airport,,SS,Africa/Juba,AEE
AEG,Aek Godang,Padangsidempuan,ID,Asia/Jakarta,AEG
AEH,Abéché,Abeche,TD,Africa/Ndjamena,AEH
AEI,Algeciras,Algeciras,ES,Europe/Madrid,AEI
AEK,Aseki,,PG,Pacific/Port_Moresby,AEK
AEL,Albert Lea,Albert Lea,US,America/Chicago,AEL
AEM,Amgu,,RU,Asia/Vladivostok,AEM
AEO,Aioun El Atrouss,,MR,Africa/Nouakchott,AEO
AEP,Jorge Newbery Airport,Colegiales,AR,America/Argentina/Buenos_Aires,BUE
AEQ,Ar Horqin Airport,Tianshan,CN,Asia/Shanghai,AEQ
AER,Sochi International Airport,Orel-Izumrud,RU,Europe/Moscow,AER
AES,Vigra Alesund Airport,Valderoy,NO,Europe/Oslo,AES
AET,Allakaket,,US,America/Anchorage,AET
AEU,Abu Musa,,IR,Asia/Tehran,AEU
AEX,Alexandria International Airport,Alexandria,US,America/Chicago,AEX
AEY,Akureyri Airport,Akureyri,IS,Atlantic/Reykjavik,AEY
AFA,San Rafael Airport,San Rafael,AR,America/Argentina/Mendoza,AFA
AFD,Port Alfred,,ZA,Africa/Johannesburg,AFD
AFF,USAF Academy Airstrip,Cimarron Hills,US,America/Denver,COS
AFI,Amalfi,Amalfi,CO,America/Bogota,AFI
AFK,Ampara Kondavattavan Tank Airport,Ampara,LK,Asia/Colombo,ADP
AFL,Alta Floresta Airport,,BR,America/Cuiaba,AFL
AFN,Municipal,Jaffrey,US,America/New_York,AFN
AFO,Municipal,Afton,US,America/Denver,AFO
AFR,Afore,,PG,Pacific/Port_Moresby,AFR
AFS,Zarafshan,Tomdibuloq,UZ,Asia/Samarkand,AFS
AFT,Afutara Aerodrome,,SB,Pacific/Guadalcanal,AFT
AFW,Fort Worth Alliance Airport,Haslet,US,America/Chicago,DFW
AFY,Afyon,Afyonkarahisar,TR,Europe/Istanbul,AFY
AFZ,Sabzevar,Sabzevar,IR,Asia/Tehran,AFZ
AGA,Agadir Al Massira Airport,Inezgane,MA,Africa/Casablanca,AGA
AGB,Augsburg Airport,Rehling,DE,Europe/Berlin,MUC
AGC,Allegheny County Airport,Pleasant Hills,US,America/New_York,PIT
AGD,Anggi,Warmare,ID,Asia/Jayapura,AGD
AGE,Flugplatz,Wangerooge,DE,Europe/Berlin,AGE
AGF,La Garenne Airport,Le Passage,FR,Europe/Paris,AGF
AGG,Angoram,,PG,Pacific/Port_Moresby,AGG
AGH,Angelholm Helsingborg Airport,,SE,Europe/Stockholm,AGH
AGI,Wageningen,Wageningen,SR,America/Paramaribo,AGI
AGJ,Aguni,,JP,Asia/Tokyo,AGJ
AGK,Kagua,,PG,Pacific/Port_Moresby,AGK
AGL,Wanigela,,PG,Pacific/Port_Moresby,AGL
